"","LS_K2","LS_K4","LS_K5","LS_K7","NL_K1","NL_K3","NL_K6","Normal_410","Normal_N19","Normal_N1","Normal_N20","Normal_N2","Normal_N3"
"ENSG00000162511",2522,3339,2921,2375,2464,2021,1665,1865,1857,3686,2049,3299,2195
"ENSG00000158014",47,11,23,53,116,52,78,50,30,79,30,96,35
"ENSG00000204138",848,1094,1280,1555,1099,2056,2002,1639,2015,1212,1862,1414,1568
"ENSG00000233419",0,0,0,0,1,1,2,0,0,0,0,4,0
"ENSG00000235263",0,0,1,0,0,25,11,3,1,0,0,0,0
"ENSG00000228176",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231251",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142675",448,678,443,659,921,1279,1288,1029,1226,891,791,1219,1205
"ENSG00000197245",278,242,180,188,331,123,171,160,154,343,154,241,200
"ENSG00000130772",271,371,351,325,398,553,499,508,568,566,407,390,431
"ENSG00000215899",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271398",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225011",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235069",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284676",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000237058",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233399",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000090020",1039,1203,1424,1305,1799,2062,1780,2601,1997,2625,1122,2193,2230
"ENSG00000157978",1364,1472,1461,1470,1543,1930,1717,2202,2658,2024,1188,2261,2451
"ENSG00000130770",1455,2707,1220,1463,1713,2538,1920,1693,1822,1421,2153,1897,1140
"ENSG00000229044",0,0,0,3,0,2,0,1,1,0,4,1,0
"ENSG00000162512",2696,1994,2585,2476,1791,2229,1873,2492,1922,3593,1457,3238,2161
"ENSG00000158006",356,400,595,779,503,1106,965,999,882,712,798,670,764
"ENSG00000214812",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000126698",1581,2503,1825,1817,1449,2386,2084,1572,1755,1296,2306,1945,1732
"ENSG00000229447",7,3,11,6,2,11,11,4,8,4,12,3,25
"ENSG00000229607",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130766",950,579,564,509,441,647,407,673,597,719,319,436,490
"ENSG00000168528",672,1232,1184,1307,1804,2565,3431,5933,4316,2180,1644,4249,2922
"ENSG00000196581",47,45,35,41,33,21,62,36,42,33,22,14,50
"ENSG00000169403",484,302,526,568,482,383,357,419,378,581,227,336,414
"ENSG00000084628",52,58,66,103,85,98,124,197,158,147,112,134,175
"ENSG00000060688",979,883,906,950,981,1126,944,768,993,849,938,711,910
"ENSG00000171612",72,82,128,107,113,220,200,180,133,227,172,204,121
"ENSG00000270927",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000188910",2802,2823,1794,2687,7035,6095,4996,8070,7395,8059,3609,8251,6773
"ENSG00000230523",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116138",274,306,496,505,280,520,391,377,463,300,496,299,284
"ENSG00000158161",502,569,752,710,451,936,784,481,657,385,827,415,592
"ENSG00000142684",284,380,247,232,403,211,257,302,269,407,184,277,296
"ENSG00000121769",114,109,113,137,81,138,68,52,124,156,168,265,165
"ENSG00000142627",970,933,994,1181,1293,1559,1430,1815,1591,2027,1340,2045,1506
"ENSG00000284668",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142632",2979,1925,2173,2234,2120,1811,2259,2479,1567,2612,1662,2318,1852
"ENSG00000234593",0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000270605",27,61,41,29,22,62,15,7,41,11,11,22,41
"ENSG00000189337",763,1012,797,1185,1074,2126,1725,1531,1836,1605,1308,1556,1914
"ENSG00000235084",4,8,3,1,3,4,2,2,9,2,5,2,0
"ENSG00000235143",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225478",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000028137",1428,1620,1598,1571,1185,977,1126,1085,1051,1925,950,1546,1297
"ENSG00000204464",0,0,1,0,0,1,0,0,0,0,0,0,0
"ENSG00000233372",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283259",0,0,1,0,0,1,2,0,0,0,0,0,0
"ENSG00000284543",0,4,18,4,0,1,0,0,0,0,0,0,0
"ENSG00000130939",1440,1358,1628,1963,1104,2435,1991,2184,2491,1874,2142,1864,2531
"ENSG00000175147",105,49,78,70,73,106,49,46,94,75,157,54,83
"ENSG00000127472",7,54,37,23,51,51,40,45,51,158,76,102,65
"ENSG00000060656",876,844,864,873,1517,1755,1547,3058,2154,2248,1002,2345,1891
"ENSG00000163867",297,395,398,378,225,486,381,183,333,187,399,229,262
"ENSG00000232768",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230214",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000189280",1211,1338,845,1431,3874,2746,3008,3903,4221,3884,2244,3302,3669
"ENSG00000134698",801,970,1067,1317,672,1921,1725,1361,1521,794,1890,1285,1539
"ENSG00000134690",55,96,133,121,145,274,202,210,282,123,254,166,231
"ENSG00000272420",18,22,7,8,14,18,21,16,18,7,18,25,12
"ENSG00000132881",61,82,96,88,107,154,102,132,215,125,47,73,150
"ENSG00000273274",3,0,0,7,0,1,2,0,0,1,0,1,0
"ENSG00000272510",0,1,1,0,0,2,0,0,1,0,1,3,0
"ENSG00000236648",0,0,0,0,0,0,2,1,0,0,0,1,0
"ENSG00000232273",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009709",0,1,0,4,0,1,2,2,7,5,3,1,1
"ENSG00000287396",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223589",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158008",55,62,131,83,337,166,314,451,225,522,97,342,115
"ENSG00000130940",1302,1338,1106,1768,1986,4461,3349,4546,4260,3317,2596,3590,3247
"ENSG00000116771",23,9,29,22,8,4,12,12,1,23,15,6,0
"ENSG00000237301",2,2,2,2,0,4,5,0,1,0,1,1,4
"ENSG00000163879",35,79,70,46,53,110,76,50,81,97,91,80,47
"ENSG00000227527",0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000116954",957,1225,957,1356,1072,1183,1080,1190,1125,1303,1088,1425,1119
"ENSG00000228589",3,5,2,3,2,5,3,4,4,7,5,4,13
"ENSG00000163873",43,72,26,42,39,113,120,127,94,109,81,81,85
"ENSG00000117215",0,96,59,12,10,6,5,3,6,5,1,2,0
"ENSG00000196449",320,287,395,447,423,485,566,618,583,674,452,720,565
"ENSG00000230163",1,0,0,1,0,0,1,0,0,0,0,0,0
"ENSG00000227538",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236500",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000044012",3,1,1,0,0,5,4,2,5,2,3,0,3
"ENSG00000179051",4285,3566,4375,4596,4330,6817,5961,5546,6482,5636,4847,5982,5082
"ENSG00000215895",1,0,1,2,0,0,3,1,3,2,1,0,0
"ENSG00000284650",0,1,0,0,1,1,1,1,0,1,0,0,0
"ENSG00000237329",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,0,0,0,1,3,0,0,1,2,5,0
"ENSG00000126067",1764,2376,1951,2379,2828,3230,3010,4519,3282,3881,3049,3640,3261
"ENSG00000274944",1,2,1,0,1,6,5,4,1,0,7,0,2
"ENSG00000132906",150,226,319,281,144,299,271,194,233,317,211,307,320
"ENSG00000197312",664,866,902,938,656,1431,1314,1130,1057,669,1450,703,800
"ENSG00000284748",0,0,1,0,0,0,1,0,5,0,2,1,2
"ENSG00000272078",3,2,5,11,5,15,11,7,9,8,4,15,8
"ENSG00000173660",2362,2931,2103,2376,3022,3459,3027,2826,2383,3295,3401,3355,2218
"ENSG00000224592",86,168,52,147,102,199,209,114,169,132,149,202,142
"ENSG00000233728",0,0,0,0,0,2,1,0,0,1,0,0,5
"ENSG00000230451",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231606",0,0,2,0,0,0,1,2,3,1,1,2,0
"ENSG00000215900",0,1,1,0,0,0,0,1,0,0,0,0,1
"ENSG00000284632",4,13,0,3,2,8,6,5,1,1,2,1,0
"ENSG00000241014",3,0,17,28,5,12,3,6,6,5,13,3,35
"ENSG00000054118",2634,2589,3141,3560,1897,3784,3315,2733,2682,2732,3457,3664,3333
"ENSG00000254553",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284653",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237749",2,1,3,6,1,5,2,0,2,3,1,7,4
"ENSG00000276747",0,1,1,0,0,1,0,1,0,0,0,2,0
"ENSG00000284705",0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000228776",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000159339",0,4,9,3,4,106,8,31,1,9,5,8,12
"ENSG00000197982",1254,1277,1076,996,780,930,564,974,586,1272,642,812,733
"ENSG00000261781",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183317",13,28,12,12,27,52,52,46,31,50,70,34,1
"ENSG00000183386",823,1225,1141,1168,841,667,617,1017,707,1286,603,837,893
"ENSG00000284743",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158315",172,250,225,391,412,602,631,554,911,447,438,587,652
"ENSG00000204084",620,801,786,856,596,946,917,882,878,765,837,701,833
"ENSG00000186973",34,50,27,23,45,41,57,19,6,34,57,27,6
"ENSG00000146463",836,824,1320,1241,394,966,833,584,841,423,994,472,736
"ENSG00000183520",446,819,615,567,458,833,742,406,600,305,681,490,401
"ENSG00000271741",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214141",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142686",1102,890,1116,1003,534,715,504,609,895,837,556,737,659
"ENSG00000224751",0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000117148",1,0,1,0,0,1,2,1,0,0,0,0,0
"ENSG00000230585",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117000",496,470,635,598,300,739,502,713,565,293,765,527,435
"ENSG00000284989",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000092853",29,41,58,34,27,72,53,28,38,27,60,23,43
"ENSG00000255811",6,1,6,4,11,9,10,8,20,8,8,10,15
"ENSG00000134697",459,1094,684,639,224,1481,1118,532,652,169,806,431,520
"ENSG00000187513",655,551,649,470,312,310,353,384,415,723,229,384,318
"ENSG00000238145",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000225142",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230138",2,11,16,11,1,11,7,4,3,1,7,8,0
"ENSG00000223390",0,0,0,2,0,0,0,0,0,2,0,0,0
"ENSG00000284720",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225671",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116151",94,144,141,218,94,239,152,178,164,147,110,128,159
"ENSG00000226147",0,0,0,0,0,0,0,0,0,0,0,0,7
"ENSG00000006555",750,1091,853,1126,1496,1623,2026,1560,2555,1360,1016,1602,1786
"ENSG00000236111",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000066056",1232,1721,1278,1120,807,749,988,551,838,1691,854,1032,1069
"ENSG00000214114",318,422,347,412,441,562,519,671,678,554,616,525,435
"ENSG00000116544",8,9,7,9,12,15,8,14,11,40,7,7,3
"ENSG00000231900",0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000236723",9,9,5,12,6,8,10,5,3,4,5,9,3
"ENSG00000232467",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000117016",580,309,389,388,1109,660,438,857,633,959,688,920,1186
"ENSG00000121310",955,2478,1239,1753,1326,4224,3036,1371,1782,1653,3049,2162,1918
"ENSG00000169213",33,50,43,86,176,519,377,406,300,326,138,159,222
"ENSG00000163866",823,981,960,967,1150,1221,1115,971,1321,1545,1172,1639,1105
"ENSG00000225779",1,3,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000284601",0,0,0,0,0,1,0,3,1,1,0,0,0
"ENSG00000237130",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143001",18,19,17,20,91,86,51,91,69,132,28,88,66
"ENSG00000227416",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000232335",0,3,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260971",2,3,5,0,4,0,0,1,5,5,2,3,3
"ENSG00000259832",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284696",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238242",0,0,0,1,0,0,0,0,1,0,0,0,0
"ENSG00000285839",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237290",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232762",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000117419",1731,1920,1699,1482,1649,1562,1386,1882,1731,2493,1316,2107,1890
"ENSG00000162384",1421,1509,1719,1507,914,1207,1033,792,1026,1158,1196,1379,991
"ENSG00000162391",0,0,1,0,0,3,0,0,0,3,0,2,0
"ENSG00000174348",5804,7957,8911,8875,2789,2718,1792,4625,3856,7120,2655,6117,6711
"ENSG00000117859",1136,1353,1418,1517,603,2001,1243,1337,1296,659,1677,953,1061
"ENSG00000228121",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253313",124,145,126,205,428,708,518,704,739,523,364,497,563
"ENSG00000162396",119,128,154,158,153,249,237,219,234,238,177,103,111
"ENSG00000203995",6,5,8,14,6,21,2,8,3,8,15,16,17
"ENSG00000284686",0,1,0,0,0,1,0,0,3,1,1,2,0
"ENSG00000162378",483,439,704,764,456,986,865,992,1010,791,790,853,850
"ENSG00000233079",0,2,0,0,0,0,0,1,1,0,1,0,0
"ENSG00000259818",0,3,0,0,1,1,0,0,0,0,1,1,0
"ENSG00000229444",1,7,1,2,16,5,9,6,7,4,2,13,3
"ENSG00000240563",4,11,5,3,0,19,13,23,22,2,5,7,0
"ENSG00000234318",0,0,2,1,0,0,0,0,0,3,0,0,0
"ENSG00000284773",72,65,33,36,29,69,58,36,56,43,57,39,52
"ENSG00000234481",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117862",40,39,41,49,36,85,46,97,123,55,41,60,59
"ENSG00000235612",0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000228369",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183431",1699,2148,1670,1692,1248,2171,1687,1647,1963,1366,2291,1920,1616
"ENSG00000227485",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224609",5,17,11,10,5,20,18,5,21,9,15,12,31
"ENSG00000235545",0,2,6,5,0,1,1,1,0,1,0,0,0
"ENSG00000236646",0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000232198",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238063",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000227104",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243725",35,27,31,27,34,52,31,35,38,30,15,23,3
"ENSG00000171872",1,5,9,7,1,0,1,0,0,2,1,0,0
"ENSG00000162407",2401,2346,2301,2348,3606,3987,3040,8558,5470,7158,7587,5382,7708
"ENSG00000285079",0,0,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000169218",211,187,147,186,398,716,521,702,423,497,352,609,413
"ENSG00000163877",382,398,497,560,478,613,601,551,543,555,757,704,542
"ENSG00000228929",28,47,20,45,69,39,37,25,46,53,59,45,48
"ENSG00000224570",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224980",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278967",0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000157184",383,574,571,590,535,1101,675,939,672,756,695,616,680
"ENSG00000198815",1235,938,1246,1478,1036,1680,1673,1688,1673,1417,1855,1880,2076
"ENSG00000134744",461,603,811,760,353,1212,901,674,950,389,1098,649,796
"ENSG00000233910",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287703",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283039",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000229032",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229294",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232993",5,8,8,1,0,1,0,0,0,2,2,2,0
"ENSG00000234088",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236973",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277397",0,0,0,6,0,0,0,0,0,0,0,0,0
"ENSG00000271200",5,5,2,5,2,5,4,1,5,0,1,3,0
"ENSG00000235446",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261196",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162385",398,576,458,417,512,586,561,456,546,455,597,650,492
"ENSG00000234264",0,0,2,0,0,0,0,1,0,0,0,0,0
"ENSG00000242391",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223883",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284808",0,0,1,0,3,0,0,0,0,0,1,0,0
"ENSG00000237227",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275350",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116652",1,0,6,5,0,7,7,3,1,2,5,2,0
"ENSG00000123080",288,379,370,369,543,651,741,524,611,886,488,764,651
"ENSG00000285778",0,0,1,0,0,0,0,0,0,1,0,0,0
"ENSG00000233407",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225675",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000237622",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162598",0,0,1,0,1,2,0,2,2,1,5,1,0
"ENSG00000280317",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162415",48,76,83,90,68,178,136,133,84,135,175,111,140
"ENSG00000162600",63,140,169,166,85,223,201,148,245,73,154,107,136
"ENSG00000116704",503,374,838,818,317,688,656,627,716,438,785,463,631
"ENSG00000227644",0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000157193",78,109,149,159,60,173,122,84,82,55,222,81,112
"ENSG00000116205",276,251,381,401,184,352,276,243,393,208,327,169,291
"ENSG00000198841",99,142,109,105,114,85,96,91,109,128,95,153,73
"ENSG00000116212",731,727,563,594,634,853,708,675,654,601,703,744,644
"ENSG00000234204",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233099",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233994",2,4,3,5,1,4,4,3,2,3,1,4,0
"ENSG00000233973",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237552",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000132854",310,357,982,354,35,166,136,124,69,170,129,101,46
"ENSG00000227556",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162607",592,534,830,909,501,1164,1055,1047,1051,542,1007,774,774
"ENSG00000233602",0,0,3,0,0,1,3,3,0,1,3,0,13
"ENSG00000233271",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285954",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233333",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000154027",602,257,298,460,45,59,59,79,46,115,68,97,31
"ENSG00000234108",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232676",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225167",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213579",0,0,0,0,0,1,0,0,0,1,0,1,0
"ENSG00000137960",163,159,163,233,252,217,318,239,319,247,260,248,261
"ENSG00000237852",1,2,2,0,0,4,1,1,0,0,1,3,0
"ENSG00000116745",3,1,6,7,0,3,3,10,7,26,7,6,0
"ENSG00000132855",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285407",2,2,0,0,0,0,1,0,1,0,0,0,0
"ENSG00000272855",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000270549",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237163",0,0,0,2,1,1,0,0,0,0,0,0,0
"ENSG00000229636",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116675",16,14,17,23,20,43,39,33,34,24,111,14,24
"ENSG00000162433",1195,703,733,1178,1581,1415,1828,2413,1820,1924,1458,1756,1788
"ENSG00000213625",2050,2308,3346,3907,2154,3255,2947,3379,2780,3330,3115,3418,3404
"ENSG00000227207",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227016",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233664",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158966",307,394,547,698,214,1036,437,390,481,332,681,389,448
"ENSG00000213703",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000203965",71,110,122,134,60,233,105,139,135,82,184,75,84
